Brand,Product Name,Selling Price (INR),Original Price (INR),Discount (%),Rating,Number of Ratings,Number of Reviews,Price Segment
ASUS,"ASUS Vivobook 15 (2025) (i5 14th Gen) with MSO 2024 + M365 Basic*, Backlit Keyboard, Intel Core 5 120U...",55144,69990.0,21.0,4.3,1567.0,106.0,Mid-Range (₹30K-₹60K)
DELL,DELL 15 Microsoft Office Home 2024 Intel Core i5 13th Gen - (16 GB/512 GB SSD/Windows 11 Home) Vostro ...,56990,64874.0,12.0,4.3,920.0,49.0,Mid-Range (₹30K-₹60K)
HP,HP AMD Ryzen 5 Quad Core 7520U - (16 GB/512 GB SSD/Windows 11 Home) 15-fc0156AU / 15-fc0690AU Thin and...,53521,56031.0,4.0,4.1,440.0,29.0,Mid-Range (₹30K-₹60K)
ASUS,ASUS Vivobook 15 (2025) with Office 2024 + M365 Basic* Intel Core i3 13th Gen - (8 GB/512 GB SSD/Windo...,40990,50990.0,19.0,4.2,1082.0,64.0,Mid-Range (₹30K-₹60K)
HP,HP 250R G10 (2025) (i3 14th Gen) Intel Core 3 14th Gen 100U - (8 GB/512 GB SSD/Windows 11 Home) 250R G...,42990,49778.0,13.0,4.2,17.0,1.0,Mid-Range (₹30K-₹60K)
Acer,Acer Swift Neo Office 2024 + M365 Basic Intel Core Ultra 7 155U - (32 GB/1 TB SSD/Windows 11 Home) SFN...,75990,99999.0,24.0,4.1,256.0,22.0,Premium (₹60K-₹1L)
Lenovo,Lenovo IdeaPad Pro 5 Intel Core Ultra 9 285H - (32 GB/1 TB SSD/Windows 11 Home) 14IAH10 Thin and Light...,134990,167890.0,19.0,4.4,50.0,1.0,Ultra Premium (> ₹1L)
ASUS,ASUS Vivobook Go 15 AMD Ryzen 5 Quad Core 7520U - (8 GB/512 GB SSD/Windows 11 Home) E1504FA-NJ132WS | ...,38990,50990.0,23.0,4.3,1532.0,77.0,Mid-Range (₹30K-₹60K)
Acer,Acer Aspire 3 Intel Core i5 13th Gen 1334U - (16 GB/512 GB SSD/Windows 11 Home) A324-53 Thin and Light...,57373,59900.0,4.0,4.3,1632.0,104.0,Mid-Range (₹30K-₹60K)
DELL,DELL 15 Microsoft Office Home 2024 Intel Core i3 13th Gen 1305U - (16 GB/512 GB SSD/Windows 11 Home) 3...,44990,54479.0,17.0,4.2,810.0,54.0,Mid-Range (₹30K-₹60K)
Lenovo,Lenovo IdeaPad Slim 3 Backlit Keyboard with MSO'2024 Intel Core i5 13th Gen 13420H - (24 GB/1 TB SSD/W...,67990,87990.0,22.0,4.3,132.0,6.0,Premium (₹60K-₹1L)
HP,HP 15 (2025) AMD Ryzen 3 Quad Core 7320U - (16 GB/512 GB SSD/Windows 11 Home) 15 Thin and Light Laptop,45999,60999.0,24.0,3.9,141.0,7.0,Mid-Range (₹30K-₹60K)
DELL,DELL 15 AMD Ryzen 7 Octa Core 7730U - (16 GB/512 GB SSD/Windows 11 Home) DC15255 Thin and Light Laptop,54990,66920.0,17.0,4.0,26.0,1.0,Mid-Range (₹30K-₹60K)
Lenovo,Lenovo �IdeaPad Slim 5 WUXGA OLED Full Metal Body Intel Core i5 13th Gen 13420H - (16 GB/512 GB SSD/Wi...,64990,85390.0,23.0,4.4,85.0,11.0,Premium (₹60K-₹1L)
DELL,DELL Inspiron 5440 (2026) (i3 14th Gen) Intel Core 3 14th Gen 100U - (8 GB/512 GB SSD/Windows 11 Pro) ...,40490,70990.0,42.0,3.9,19.0,1.0,Mid-Range (₹30K-₹60K)
Acer,Acer Aspire 3 Intel Pentium Quad Core 12th Gen N100 - (16 GB/512 GB SSD/Windows 11 Home) A324-31 Thin ...,36990,,,4.1,720.0,35.0,Mid-Range (₹30K-₹60K)
MSI,MSI Thin 15 Intel Core i5 12th Gen 12450H - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeF...,49990,70990.0,29.0,4.3,1558.0,117.0,Mid-Range (₹30K-₹60K)
Lenovo,Lenovo Chromebook Intel Pentium Quad Core N100 - (4 GB/128 GB EMMC Storage/Chrome OS) 14IAN8 Chromeboo...,16990,36690.0,53.0,3.7,122.0,11.0,Budget (< ₹30K)
HP,"HP 15 Laptop with Backlit Keyboard & MSO'2024, AMD Ryzen 7 Octa Core 7730U - (16 GB/512 GB SSD/Windows...",55990,62963.0,11.0,4.3,43.0,6.0,Mid-Range (₹30K-₹60K)
Acer,Acer 3 Years Warranty TravelLite (2026) AMD Ryzen 5 Hexa Core 7430U - (8 GB/512 GB SSD/Windows 11 Home...,42990,74990.0,42.0,4.0,12.0,4.0,Mid-Range (₹30K-₹60K)
DELL,DELL 14 (2025) Intel Core i3 13th Gen 1305U - (16 GB/512 GB SSD/Windows 11 Pro) 14 Thin and Light Lapt...,45990,70990.0,35.0,4.3,232.0,15.0,Mid-Range (₹30K-₹60K)
HP,HP Victus (i5 14th Gen) Intel Core 5 120U - (16 GB/512 GB SSD/Windows 11 Home) 15-fd1097TU Thin and Li...,66026,77900.0,15.0,,,,Premium (₹60K-₹1L)
ASUS,ASUS Chromebook CX15 Intel Celeron Dual Core N4500 - (4 GB/64 GB EMMC Storage/Chrome OS) CX1505CKA-S70...,16990,19990.0,15.0,4.0,123.0,7.0,Budget (< ₹30K)
Other,Primebook 2 Pro (2025) in-Built AI MediaTek Helio G99 (MT8781) - (8 GB/128 GB/Android 15) PBG9914128#4...,24990,29990.0,16.0,4.3,845.0,250.0,Budget (< ₹30K)
HP,HP Intel Pentium Quad Core N6000 - (8 GB/512 GB SSD/Windows 11 Home) 15s-fq3073TU Thin and Light Lapto...,36965,,,3.6,35.0,3.0,Mid-Range (₹30K-₹60K)
Lenovo,Lenovo IdeaPad Slim 3 Intel Core i5 12th Gen 12450H - (16 GB/512 GB SSD/Windows 11 Home) 15IAH8 Thin a...,53990,70990.0,23.0,4.2,806.0,51.0,Mid-Range (₹30K-₹60K)
HP,HP 240R G10 (2026) Professional (i3 14th Gen) Intel Core 3 14th Gen 100U - (8 GB/512 GB SSD/Windows 11...,41490,66990.0,38.0,4.0,4.0,0.0,Mid-Range (₹30K-₹60K)
ASUS,"ASUS Vivobook S14 (2025) with Office 2024 + M365 Basic*, AI PC, Backlit Keyboard, Intel Core Ultra 5 2...",72990,98990.0,26.0,4.4,65.0,6.0,Premium (₹60K-₹1L)
HP,HP 15s AMD Ryzen 5 Quad Core 7520U - (16 GB/512 GB SSD/Windows 11 Home) 15-fc0030AU Thin and Light Lap...,49990,55691.0,10.0,4.3,88.0,1.0,Mid-Range (₹30K-₹60K)
Acer,Acer Chromebook Intel Celeron Dual Core N4500 - (8 GB/128 GB EMMC Storage/Chrome OS) CB314-3H-C5QE/ CB...,19999,33999.0,41.0,3.8,2835.0,197.0,Budget (< ₹30K)
Lenovo,Lenovo 100e Chromebook Gen 4 MediaTek Kompanio 520 - (4 GB/32 GB EMMC Storage/Chrome OS) 82W00004HA Ch...,13990,16298.0,14.0,4.0,2768.0,205.0,Budget (< ₹30K)
Lenovo,Lenovo IdeaPad Slim 5 WUXGA OLED Full metal Intel Core i7 13th Gen 13620H - (16 GB/512 GB SSD/Windows ...,74990,99790.0,24.0,4.2,77.0,10.0,Premium (₹60K-₹1L)
ASUS,"ASUS Vivobook S14 (2025) with Office 2024 + M365 Basic*, Backlit Keyboard, Intel Core i7 13th Gen 1362...",66990,98990.0,32.0,4.5,203.0,9.0,Premium (₹60K-₹1L)
Other,Primebook 2 Neo (2025) in-Built AI MediaTek Helio G99 (MT8781) - (6 GB/128 GB/Android 15) PBG9911128#B...,15990,,,4.3,264.0,81.0,Budget (< ₹30K)
ASUS,"ASUS Vivobook 15 (2025) with Office 2024 + M365 Basic*, Backlit Keyboard, Intel Core i3 13th Gen 1315U...",46990,54990.0,14.0,4.3,2866.0,174.0,Mid-Range (₹30K-₹60K)
