Brand,Product Name,Selling Price (INR),Original Price (INR),Discount (%),Rating,Number of Ratings,Number of Reviews
MSI,MSI Modern 14 Intel Core i5 12th Gen 1235U - (16 GB/512 GB SSD/Windows 11 Home) Modern 14 C12MO-1299IN...,45999,58990,22,4.3,1639,158
ASUS,ASUS ExpertBook P1 (i5 14th Gen) Intel Core 5 210H - (32 GB/512 GB SSD/Windows 11 Home) P1403CVA-S6163...,68990,114990,40,4.5,13,2
Lenovo,Lenovo Legion 5 AMD Ryzen 7 Octa Core 260 - (16 GB/1 TB SSD/Windows 11 Home/8 GB Graphics/NVIDIA GeFor...,175490,206390,14,5,4,0
ASUS,"ASUS Vivobook 14 Flip OLED (2025) with Touch Screen, Backlit Keyboard, Intel Core Ultra 5 226V - (16 G...",89990,122990,26,4.3,41,5
Lenovo,Lenovo Legion Pro 7 Intel Core Ultra 9 9th Gen - (32 GB/1 TB SSD/Windows 11 Home/24 GB Graphics/NVIDIA...,524190,,,,,
MSI,MSI Modern 14 Intel Core i7 12th Gen 1255U - (8 GB/512 GB SSD/Windows 11 Home) Modern 14 C12M-670IN Th...,63266,78990,19,4.3,196,21
DELL,DELL Alienware Intel Core Ultra 7 155H - (16 GB/1 TB SSD/Windows 11 Home/6 GB Graphics/NVIDIA GeForce ...,134999,171424,21,,,
ASUS,"ASUS ProArt PX13 (2026) for Creator with Touch Screen, MSO 2024 + M365 Basic,AI PC AMD Ryzen AI Max+ 3...",334990,401990,16,,,
Samsung,Samsung Galaxy Book4 Edge Series Copilot AI-PC Full Metal Chasis Snapdragon X - (16 GB/512 GB SSD/Wind...,70800,92390,23,4.4,2926,298
ASUS,"ASUS Vivobook Go 15 OLED, with Backlit Keyboard, AMD Ryzen 5 Quad Core 7520U - (8 GB/512 GB SSD/Window...",40990,74990,45,4.4,3040,252
DELL,DELL XPS 13 Intel Core i7 8th Gen 8550U - (16 GB/512 GB SSD/Windows 10 Home) 9370 Thin and Light Lapto...,124990,139104,10,1.7,3,0
Acer,Acer Nitro V AMD Ryzen 5 Hexa Core 7535HS - (16 GB/512 GB SSD/Windows 11 Home/6 GB Graphics/NVIDIA GeF...,63699,85999,25,4.3,592,51
HP,HP 240R G9 (2026) Intel Core i5 13th Gen 1334U - (16 GB/512 GB SSD/Windows 11 Pro) 240R G9 Thin and Li...,55990,82990,32,,,
Acer,Acer Aspire 15 AMD Ryzen 5 Hexa Core 7430U - (16 GB/512 GB SSD/Windows 11 Home) Aspire AS15-42 Thin an...,49990,59990,16,4.1,3799,360
ASUS,"ASUS Vivobook Go 15 OLED, with Backlit Keyboard, AMD Ryzen 3 Quad Core 7320U - (8 GB/512 GB SSD/Window...",41990,61990,32,4.4,4490,479
Microsoft,"MICROSOFT Surface Pro 12"" Core 8 Snapdragon X Plus - (16 GB/256 GB SSD/Windows 11 Home) Surface Pro 2 ...",91990,93999,2,4.8,11,0
ASUS,ASUS Chromebook CX14 Intel Celeron Dual Core N4500 - (4 GB/64 GB EMMC Storage/Chrome OS) CX1405CKA-NK0...,20990,21990,4,3.8,386,24
DELL,DELL Latitude 3550 (2026) Intel Core i3 13th Gen 1315U - (8 GB/512 GB SSD/Windows 11 Pro) Latitude 355...,41990,70990,40,,,
ASUS,ASUS TUF Gaming A17 AMD Ryzen 5 Hexa Core AMD R5-4600H - (8 GB/512 GB SSD/Windows 10 Home/4 GB Graphic...,55999,81990,31,4.6,542,91
Samsung,Samsung Galaxy Book5 Pro AI PC Full Metal Chasis Intel Core Ultra 5 226V - (16 GB/512 GB SSD/Windows 1...,128030,153588,16,4.5,8,2
Acer,Acer Aspire Intel Core i5 12th Gen 12450H - (16 GB/512 GB SSD/Windows 11 Home) AL15-52H Thin and Light...,54165,59990,9,4.1,2409,208
DELL,DELL 14 Plus Microsoft Office Home 2024 Intel Core Ultra 7 256V - (16 GB/512 GB SSD/Windows 11 Home) D...,98990,116859,15,4.8,8,2
ASUS,"ASUS Vivobook S14 Flip (2025) with Office 2024 + M365 Basic*, A-Part Metal Body, Intel Core i5 13th Ge...",63990,86990,26,4.7,55,6
MSI,MSI Stealth 16 Studio Intel Core i7 13th Gen 13700H - (32 GB/1 TB SSD/Windows 11 Home/8 GB Graphics/NV...,246399,335990,26,,,
Apple,Apple MacBook Pro M5 - (24 GB/1 TB SSD/macOS Tahoe) MDE64HN/A,209900,,,,,
Apple,"Apple MacBook Pro (M5, 2025) M5 - (32 GB/1 TB SSD/Tahoe) MJ3E4HN/A",229900,,,,,
HP,HP OmniBook 5 OLED Next-Gen AI Laptop Snapdragon X - (16 GB/1 TB SSD/Windows 11 Home) 16-fb0001QU Thin...,69971,88225,20,,,
Samsung,Samsung Galaxy Book4 Pro Evo AI PC Intel Core Ultra 5 125H - (16 GB/512 GB SSD/Windows 11 Home) NP940X...,110990,151789,26,4.4,94,17
Samsung,Samsung Galaxy Book6 Intel Core Ultra 7 - (16 GB/512 GB SSD/Windows 11 Home) NP760VJG Laptop,127990,165190,22,,,
ASUS,ASUS Vivobook S14 (2025)(i5 14th Gen) with Office 2024 + M365 Basic* Backlit Keyboard Intel Core 5 210...,64990,65990,1,4.2,109,10
HP,HP AMD Ryzen 5 Hexa Core 5500U - (8 GB/512 GB SSD/Windows 11 Home) 15s- eq2144au Thin and Light Laptop,29990,54552,45,4.2,5382,349
Lenovo,Lenovo V15 AMD Ryzen 5 Quad Core 7520U - (16 GB/512 GB SSD/Windows 11 Home) V15 Thin and Light Laptop,46990,62990,25,4.1,1797,158
Other,Thomson NEO Core Series Intel Core i3 12th Gen 1215U - (8 GB/512 GB SSD/Windows 11 Home) IN-N15I Thin ...,44990,,,3.6,160,36
Lenovo,Lenovo AMD Ryzen 7 Octa Core 7730U - (16 GB/512 GB SSD/Windows 11 Home) ThinkBook 15 G5 Thin and Light...,90000,,,4.4,92,10
Lenovo,Lenovo LOQ 2025 Intel Core i7 14th Gen 14700HX - (32 GB/1 TB SSD/Windows 11 Home/8 GB Graphics/NVIDIA ...,167990,184490,8,4.4,14,0
Lenovo,Lenovo Yoga Book 9 Intel Evo Intel Core i7 13th Gen 1355U - (16 GB/1 TB SSD/Windows 11 Home) 13IRU8 2 ...,166299,314890,47,4.2,9,0
Lenovo,Lenovo IdeaPad 1 AMD Ryzen 3 Dual Core 3250U - (8 GB/512 GB SSD/Windows 11 Home) 15ADA7 Thin and Light...,38099,54490,30,4.1,1093,91
MSI,MSI Modern 14 Intel Core i3 12th Gen 1215U - (8 GB/512 GB SSD/Windows 11 Home) Modern 14 C12MO-1401IN ...,42990,47990,10,4.2,119,11
ASUS,ASUS Expertbook P3 Metal High-performance processor Intel Core i5 13th Gen 13420H - (16 GB/512 GB SSD/...,64786,71990,10,4.4,475,44
Apple,Apple Macbook Neo A18 Pro(2026) A18 Pro - (8 GB/512 GB SSD/Tahoe) MHFC4HN/A,79290,79900,,4.8,24,2
Other,MOTOROLA Motobook 60 Full Metal OLED (i7 14th Gen) Intel Core 7 (Series 2) 240H - (16 GB/512 GB SSD/Wi...,62990,104890,39,4.4,961,105
ASUS,"ASUS Zenbook Duo OLED AI PC, with Touch Screen, Full Metal Body, Intel Core Ultra 7 155H - (32 GB/1 TB...",139990,242990,42,4.6,17,2
DELL,DELL Alienware 16 Aurora (i7 14th Gen) Microsoft Office Home 2024 Intel Core 7 - (16 GB/1 TB SSD/Windo...,96990,130124,25,4.8,5,1
DELL,DELL Inspiron Intel Core i5 13th Gen 1335U - (8 GB/512 GB SSD/Windows 11 Home) Inspiron 5430 Thin and ...,59090,68089,13,4,223,24
ASUS,"ASUS Vivobook 15 (2025) with Office 2024 + M365 Basic*, Intel Core i3 13th Gen 1315U - (16 GB/512 GB S...",46990,54990,14,4.8,10,0
Samsung,Samsung Galaxy Book3 360 EVO AMOLED Intel Core i7 13th Gen 1355U - (16 GB/1 TB SSD/Windows 11 Home) NP...,133990,147926,9,4.3,20,3
HP,HP Pavilion Intel Core i5 12th Gen 1235U - (16 GB/512 GB SSD/Windows 11 Home) 14-dv2014TU Thin and Lig...,71490,73688,2,4.3,2481,174
Infinix,Infinix Y3 Max Series Intel Core i3 12th Gen 1215U - (16 GB/512 GB SSD/Windows 11 Home) YL613 Thin and...,59990,,,4.3,584,88
GIGABYTE,GIGABYTE G Series Intel Core i7 13th Gen 13620H - (16 GB/1 TB SSD/Windows 11 Home/8 GB Graphics/NVIDIA...,96500,162000,40,4.6,117,18
ASUS,"ASUS Vivobook 16 (2026) AI PC with Office 2024 + M365 Basic*, Copilot+ PC AMD Ryzen AI 7 Hexa Core 445...",87990,97990,10,,,
DELL,DELL 14 Plus Next Gen AI PC Microsoft Office Home 2024 Intel Core Ultra 5 226V - (16 GB/512 GB SSD/Win...,78990,98040,19,4.3,388,33
ASUS,ASUS VivoBook 14 Intel Core i3 11th Gen 1115G4 - (8 GB/256 GB SSD/Windows 11 Home) X415EA-EK342WS Thin...,35990,50990,29,4.3,643,58
Lenovo,Lenovo IdeaPad Slim 3 Backlit Keyboard with MSO'2024 (i5 14th Gen) Intel Core 5 210H - (16 GB/512 GB S...,59990,86690,30,4.6,20,2
GIGABYTE,GIGABYTE G Series Intel Core i7 12th Gen 12650H - (16 GB/512 GB SSD/Windows 11 Home/6 GB Graphics/NVID...,148500,,,4.3,173,31
DELL,DELL G15 Microsoft Office Home 2024 Intel Core i5 13th Gen 13450HX - (16 GB/1 TB SSD/Windows 11 Home/6...,78990,101709,22,4.2,678,51
ASUS,ASUS TUF Gaming A15 AMD Ryzen 7 Octa Core 7435HS - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVI...,55990,75990,26,4.3,1873,134
ASUS,ASUS TUF Gaming A15 (2025) AMD Ryzen 7 Hexa Core 7445HS - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graph...,71990,85990,16,4.2,46,2
ASUS,"ASUS Zenbook S 16 OLED (2025) with Touch Screen, Backlit Keyboard, AI PC AMD Ryzen AI 7 Octa Core 350 ...",134990,170990,21,5,7,0
Acer,Acer Aspire 3 AMD Ryzen 3 Quad Core 7330U - (8 GB/512 GB SSD/Windows 11 Home) AS15 42 / A325 42 Thin a...,42990,44990,4,4.2,858,98
Acer,Acer Aspire Intel Core i5 12th Gen 12450H - (12 GB/512 GB SSD/Windows 11 Home) AL15-52H Thin and Light...,56990,59990,5,4.1,2409,208
ASUS,ASUS ROG Zephyrus G16 (2025) with Office 2024 + M365 Basic* Intel Core Ultra 9 285H - (32 GB/2 TB SSD/...,359990,395990,9,,,
Acer,Acer One Intel Core i3 11th Gen 1115G4 - (8 GB/512 GB SSD/Windows 11 Home) AO 14 Z 8-415 Thin and Ligh...,20999,43999,52,4.2,13575,971
Acer,Acer Nitro V 15 Intel Core i5 13th Gen 13420H - (16 GB/512 GB SSD/Windows 11 Home/8 GB Graphics/NVIDIA...,104999,114999,8,4.1,292,34
MSI,MSI Raider GE78 HX Intel Core i9 14th Gen 14900HX - (32 GB/2 TB SSD/Windows 11 Home/12 GB Graphics/NVI...,339990,,,,,
Lenovo,Lenovo LOQ AMD Ryzen 7 Octa Core 7435HS - (24 GB/512 GB SSD/Windows 11 Home/8 GB Graphics/NVIDIA GeFor...,103290,127990,19,4.5,436,27
Acer,Acer Aspire Lite Intel Core i7 12th Gen 12650H - (16 GB/512 GB SSD/Windows 11 Home) AL15-52H Thin and ...,59990,71599,16,4,21,2
HP,HP OMEN Intel Core i7 14th Gen 14650HX - (24 GB/1 TB SSD/Windows 11 Home/8 GB Graphics/NVIDIA GeForce ...,132990,162996,18,4.4,52,7
ASUS,ASUS TUF Gaming A16 (2025) AMD Ryzen 7 Hexa Core 7445HS - (16 GB/1 TB SSD/Windows 11 Home/6 GB Graphic...,102990,114990,10,4.5,722,27
DELL,DELL Inspiron 16 Intel Core i5 13th Gen 1334U - (16 GB/512 GB SSD/Windows 11 Home) 5640 Laptop,58999,67717,12,4.4,10,1
Acer,Acer Predator Helios Neo 16S AI Intel Core Ultra 7 255 HX - (16 GB/1 TB SSD/Windows 11 Home/8 GB Graph...,179999,195999,8,4.8,107,11
MSI,MSI Modern 14 AMD Ryzen 5 Hexa Core 7530U - (8 GB/512 GB SSD/Windows 11 Home) Modern 14 C7M-063IN Thin...,37999,61990,38,4.4,4847,541
Infinix,Infinix X1 Slim Series Intel Core i5 10th Gen 1035G1 - (8 GB/512 GB SSD/Windows 11 Home) XL21 Thin and...,39990,59999,33,4.1,992,134
ASUS,ASUS Vivobook 16X Intel Core i5 12th Gen 12500H - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics) K36...,65990,80990,18,4.3,21,2
ASUS,"ASUS Vivobook 15 (2025) with Office 2024 + M365 Basic*, Intel Core i3 13th Gen 1315U - (8 GB/512 GB SS...",42990,49990,14,4.3,2866,174
ASUS,ASUS TUF Gaming A15 AMD Ryzen 7 Hexa Core 7435HS - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVI...,64990,86990,25,4.4,3607,201
HP,HP 255R G10 (2026) Professional DDR5 5600Mhz AMD Ryzen 3 Quad Core 7335U - (8 GB/512 GB SSD/Windows 11...,40490,55990,27,,,
HP,HP 15 (i5 14th Gen) Intel Core 5 120U - (8 GB/512 GB SSD/Windows 11 Home) 15-fd1096TU Thin and Light L...,60490,73920,18,,,
Lenovo,Lenovo LOQ AMD Ryzen 5 Quad Core 7235HS - (12 GB/512 GB SSD/Windows 11 Home/6 GB Graphics/NVIDIA GeFor...,69000,89890,23,4.4,882,78
Lenovo,Lenovo V15 Gen 5 (2026) DDR5 5600Mhz Intel Core i3 13th Gen 1315U - (8 GB/512 GB SSD/Windows 11 Pro) V...,42990,70990,39,,,
HP,HP Chromebook Intel Celeron Dual Core N4120 - (4 GB/64 GB EMMC Storage/Chrome OS) 14a-ca0506TU Chromeb...,23800,32295,26,4,2098,167
Lenovo,Lenovo V 15 (2025) AMD Ryzen 3 Quad Core 7320U - (8 GB/512 GB SSD/Windows 11 Home) V 15 Thin and Light...,39990,56990,29,4.4,23,2
DELL,DELL Inspiron Intel Core i5 11th Gen 1135G7 - (8 GB/256 GB SSD/Windows 11 Home) Inspiron 3511 Thin and...,57490,60695,5,4,219,21
MSI,MSI Modern 14 Intel Core i3 12th Gen 1215U - (16 GB/512 GB SSD/Windows 11 Home) Modern 14 C12MO-444IN/...,40382,47990,15,4.4,1537,165
Acer,Acer Aspire 14 with Backlit Keyboard Intel Core i5 13th Gen 13500H - (16 GB/512 GB SSD/Windows 11 Home...,48999,93999,47,4.3,6285,529
DELL,DELL Inspiron 3530 Intel Core i5 13th Gen 1334U - (8 GB/512 GB SSD/Windows 11 Home) Inspiron 3530 Thin...,57990,69990,17,4.1,7,1
Apple,"Apple MacBook Air (M5, 2026) M5 - (16 GB/512 GB SSD/Tahoe) MDH74HN/A",119900,,,4.5,32,3
DELL,DELL Inspiron Intel Core Ultra 5 125H - (16 GB/512 GB SSD/Windows 11 Home) Inspiron 16 Plus Laptop,82999,101999,18,4.2,60,3
ASUS,ASUS ExpertBook P1 (i7 14th Gen) Intel Core 7 240H - (16 GB/512 GB SSD/Windows 11 Home) P1503CVA-S7208...,78990,99990,21,4.4,48,2
ASUS,ASUS Vivobook 15 Intel Core i5 12th Gen 1235U - (16 GB/512 GB SSD/Windows 11 Home) X1502ZA-EJ545WS Thi...,51990,74990,30,4.2,8863,488
Acer,Acer Aspire Lite Intel Core i5 12th Gen 12450H - (16 GB/1 TB SSD/Windows 11 Home) AL15-52H Thin and Li...,58548,63990,8,4.1,2409,208
ASUS,"ASUS Gaming V16 (2025) with Office 2024 + M365 Basic*, AI PC, (i7 14th gen) Intel Core 7 240H - (16 GB...",99990,113990,12,4.3,98,4
ASUS,"ASUS Vivobook S14 (2025) with Backlit Keyboard, Metallic Design*, Intel Core Ultra 7 255H - (16 GB/512...",82990,110990,25,4.5,29,3
Lenovo,Lenovo LOQ AMD Ryzen 5 Quad Core 7235HS - (24 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeFor...,71490,90490,20,4.4,1097,82
MSI,MSI Thin 15 Intel Core i7 13th Gen 13620H - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeF...,79990,89990,11,4.5,45,4
Acer,Acer NITRO LITE 16 Intel Core i7 13th Gen 13620H - (16 GB/512 GB SSD/Windows 11 Home/6 GB Graphics/NVI...,99999,113899,12,4.3,526,42
Acer,Acer Aspire Lite AMD Ryzen 5 Hexa Core 5625U - (16 GB/512 GB SSD/Windows 11 Home) AL15-41 Thin and Lig...,47080,58990,20,4.1,2867,214
Microsoft,"MICROSOFT Surface Pro 12"" with Type Cover & Pen Core 8 Snapdragon X Plus - (16 GB/512 GB SSD/Windows 1...",102999,,,,,
MSI,MSI Raider 18 HX AI Intel Core Ultra 9 285HX - (64 GB/4 TB SSD/Windows 11 Home/24 GB Graphics/NVIDIA G...,499990,559990,10,,,
Lenovo,Lenovo Legion 7 Intel Core Ultra 9 275HX - (32 GB/1 TB SSD/Windows 11 Home/8 GB Graphics/NVIDIA GeForc...,263490,286890,8,,,
ASUS,ASUS Vivobook 16 (2025) with Office 2024 + M365 Basic* Intel Core i7 13th Gen 13620H - (16 GB/512 GB S...,63990,87990,27,4.4,55,4
MSI,MSI Thin 15 Intel Core i7 13th Gen 13620H - (16 GB/512 GB SSD/Windows 11 Home/6 GB Graphics/NVIDIA GeF...,77999,100990,22,,,
HP,HP Chromebook Intel Celeron Quad Core N4120 - (4 GB/64 GB EMMC Storage/Chrome OS) 14a-ca0504TU Chromeb...,25540,32279,20,4.1,2269,158
Infinix,Infinix Intel Core i7 10th Gen 1065G7 - (8 GB/512 GB SSD/Windows 11 Home/128 MB Graphics) XL21 Thin an...,47990,64990,26,,,
HP,HP 15s Intel Core i5 8th Gen 8265U - (8 GB/1 TB HDD/Windows 10 Home) 15s-du0051TU Thin and Light Lapto...,50176,56538,11,4.2,182,18
Lenovo,Lenovo LOQ 2025 AMD Ryzen 7 Octa Core 250 - (24 GB/1 TB SSD/Windows 11 Home/8 GB Graphics/NVIDIA GeFor...,115990,132590,12,4.4,67,8
Other,WINGS Nuvobook Pro Aluminium Alloy Metal Body Intel Intel Core i7 11th Gen 1165G7 - (16 GB/512 GB SSD/...,46990,89999,47,4.1,135,24
HP,HP OmniBook X Flip (Previously Envy) Intel Core Ultra 7 258V - (32 GB/1 TB SSD/Windows 11 Home/16 GB G...,122999,160689,23,4.7,6,1
ASUS,ASUS Vivobook 15 Intel Core i3 12th Gen 1215U - (8 GB/512 GB SSD/Windows 11 Home) X1502ZA-EJ953WS Thin...,34990,56990,38,4.3,7777,605
HP,HP AMD Ryzen 5 Hexa Core 5500U - (8 GB/512 GB SSD/Windows 11 Home) 15s- eq2304au Thin and Light Laptop,48419,,,4.4,396,30
ASUS,ASUS ExpertBook P1 (i7 14th Gen) Intel Core 7 240H - (32 GB/512 GB SSD/Windows 11 Home) P1403CVA-S6149...,79990,129990,38,,,
Apple,Apple MacBook Air M4 - (16 GB/512 GB SSD/macOS Sequoia) MC6U4HN/A,113990,119900,4,4.7,2624,175
MSI,MSI Thin 15 Intel Core i7 12th Gen 12650H - (16 GB/1 TB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeFor...,89990,,,4.4,97,5
Acer,Acer Predator Helios 16 Intel Core i9 14th Gen 14900HX - (32 GB/1 TB SSD/Windows 11 Home/12 GB Graphic...,256999,,,4.4,19,3
MSI,MSI Modern 14 AMD Ryzen 5 Hexa Core 7530U - (8 GB/512 GB SSD/Windows 11 Home) Modern 14 C7M-284IN Busi...,46990,64990,27,4.4,256,21
Apple,"Apple MacBook Air (M5, 2026) M5 - (24 GB/1 TB SSD/Tahoe) MDVU4HN/A",184900,,,,,
HP,HP Intel Core Ultra 7 - (16 GB/1 TB SSD/Windows 11 Home) 14-ep1152TU Thin and Light Laptop,82490,85991,4,4.1,466,36
ASUS,"ASUS Gaming V16 (2025) for Creator with Office 2024 + M365 Basic*, AI PC(i7 14th gen) Intel Core 7 240...",108990,137990,21,4.4,30,2
Other,walker Intel Celeron Dual Core N4020 - (4 GB/128 GB SSD/Windows 11 Home) NU14A1 Thin and Light Laptop,30000,,,3.7,1630,206
GIGABYTE,GIGABYTE G5 KF5-H3IN353KH Intel Core i7 13th Gen G Series - (16 GB/512 GB SSD/Windows 11 Home/8 GB Gra...,159000,,,4.2,20,4
Acer,Acer Predator Helios Neo 16S AI Intel Core Ultra 7 - (16 GB/1 TB SSD/Windows 11 Home/8 GB Graphics/NVI...,154999,185999,16,5,4,0
Acer,Acer Aspire Lite (2025) AMD Ryzen 7 Octa Core 5700U - (16 GB/512 GB SSD/Windows 11 Home) AL15-41 Thin ...,47990,74990,36,4,5,1
HP,HP 255 G10 (2025) AMD Athlon Dual Core 7120U - (8 GB/256 GB SSD/Windows 11 Pro) 255 G10 Thin and Light...,39085,44990,13,3.8,35,4
Acer,Acer Predator Helios Neo 16 Intel Core i7 14th Gen 14700HX - (16 GB/1 TB SSD/Windows 11 Home/6 GB Grap...,99990,142999,30,4.5,574,56
HP,HP Omnibook 3 AMD Ryzen AI 5 Hexa Core 340 - (16 GB/512 GB SSD/Windows 11 Home) 15-fn0007AU Thin and L...,60990,76295,20,4.4,24,3
Lenovo,Lenovo Yoga 6 AMD Ryzen 5 Hexa Core 7530U - (16 GB/512 GB SSD/Windows 11 Home) 13ABR8 2 in 1 Laptop,108190,,,4.2,39,5
Lenovo,Lenovo Legion 5 WQXGA OLED Intel Core Ultra 7 255 HX - (32 GB/1 TB SSD/Windows 11 Home/8 GB Graphics/N...,201490,230890,12,,,
Lenovo,Lenovo Ideapad 3 Intel Core i5 10th Gen 1035G1 - (4 GB/1 TB HDD/Windows 10 Home) 15IIL05 Laptop,41999,61490,31,3.6,399,73
MSI,MSI Modern 15 Intel Core i5 12th Gen 1235U - (16 GB/512 GB SSD/Windows 11 Home) Modern 15 B12MO Thin a...,54990,60990,9,4.2,287,17
Microsoft,"MICROSOFT Surface Laptop 13"" Snapdragon X Plus - (16 GB/256 GB SSD/Windows 11 Home) EP2-36996 Laptop",99990,100999,,,,
Microsoft,MICROSOFT Surface Pro 9 Intel Core i5 12th Gen 1235U - (8 GB/256 GB SSD/Windows 11 Home) QEZ-00048 Thi...,79990,116999,31,3.4,5,0
Microsoft,"MICROSOFT Surface Laptop 13"" Snapdragon X Plus - (16 GB/512 GB SSD/Windows 11 Home) EP2-31940 Laptop",108990,109999,,4.8,5,0
DELL,DELL Inspiron 15 (Core i3 14th Gen) Intel Core 3 100U - (8 GB/512 GB SSD/Windows 11 Home) DC15250 Thin...,44990,47877,6,4.2,80,6
HP,"HP OmniBook 5 Backlit Keyboard & MSO'2024, Intel Core i5 13th Gen 1334U - (16 GB/512 GB SSD/Windows 11...",62990,82575,23,4.5,22,2
ASUS,"ASUS Vivobook S16 (2025) with Office 2024 + M365 Basic*, Metal Body*, Intel Core Ultra 5 225H - (16 GB...",77153,99990,22,4.2,26,2
ASUS,"ASUS Vivobook 16X (2026) for Creator with Office 2024 + M365 Basic, Intel Core i5 13th Gen 13420H - (1...",70282,89990,21,,,
ASUS,ASUS ROG Zephyrus G14 (2025) with Office 2024 + M365 Basic* AMD Ryzen 9 Octa Core 270 - (16 GB/1 TB SS...,199990,221990,9,4.4,14,0
MSI,MSI Modern 15 Intel Core i5 12th Gen 1235U - (16 GB/512 GB SSD/Windows 11 Home) Modern 15 B12MO-817IN ...,57990,,,4.2,287,17
Acer,"Acer Aspire Lite with Backlit Keyboard, Intel Core i7 12th Gen 1255U - (16 GB/512 GB SSD/Windows 11 Ho...",57990,79990,27,4.3,90,6
Lenovo,Lenovo V 14 (2025) Intel Core i5 13th Gen 1335U - (24 GB/512 GB SSD/Windows 11 Home) V 14 Thin and Lig...,59990,99990,40,,,
Infinix,Infinix X Air Pro+ Intel Core i5 13th Gen 1334U - (16 GB/512 GB SSD/Windows 11 Home) XL434 Thin and Li...,57990,69990,17,4.5,165,18
Lenovo,Lenovo ThinkBook 15 AMD Ryzen 7 Octa Core 7730U - (8 GB/512 GB SSD/DOS) ThinkBook 15 G5 Thin and Light...,51990,74000,29,3.7,34,5
ASUS,ASUS ROG Strix G16 (2025) with Office 2024 + M365 Basic* Intel Core Ultra 9 275HX - (16 GB/1 TB SSD/Wi...,204990,227990,10,4.8,31,0
HP,HP 15s Intel Core i3 12th Gen 1215U - (8 GB/512 GB SSD/Windows 11 Home) 15s-fq5327TU / FD0063TU Thin a...,32990,51134,35,4.2,7372,576
ASUS,"ASUS Vivobook 15 (2025) with Office 2024 + M365 Basic*, AMD Ryzen 7 Octa Core 7730U - (16 GB/512 GB SS...",61701,85000,27,4,86,5
Apple,"Apple MacBook Pro (M5 Max, 2026) M5 Max - (36 GB/2 TB SSD/Tahoe) MGED4HN/A",429900,,,,,
ASUS,"ASUS Vivobook S 14 Intel EVO H-Series, with Backlit Keyboard, Intel Core i5 12th Gen 12500H - (16 GB/5...",59999,86990,31,4.4,2277,208
Acer,Acer Aspire 7 (i5 14th Gen) Intel Core 5 210H - (16 GB/512 GB SSD/Windows 11 Home/6 GB Graphics/NVIDIA...,84990,94999,10,4.5,8,0
Apple,"Apple MacBook Air (M5, 2026) M5 - (16 GB/512 GB SSD/Tahoe) MDVD4HN/A",144900,,,,,
ASUS,ASUS ROG Strix G16 (2025) with Office 2024 + M365 Basic* Intel Core i7 14th Gen 14650HX - (16 GB/1 TB ...,169990,191990,11,4.9,52,9
MSI,MSI Thin A15 AMD Ryzen 7 Octa Core 7735HS - (16 GB/1 TB SSD/Windows 11 Home/6 GB Graphics/NVIDIA GeFor...,80999,103990,22,4.5,22,5
Lenovo,Lenovo Yoga Pro 7 3K OLED AI PC Full Metal Body Intel Core Ultra 9 285H - (32 GB/1 TB SSD/Windows 11 H...,152990,174890,12,4.3,25,1
Lenovo,Lenovo Yoga Pro 7 2.8K OLED AI PC Intel Core Ultra 7 155H - (16 GB/1 TB SSD/Windows 11 Home/6 GB Graph...,126699,202890,37,3,4,0
ASUS,ASUS Chromebook CX14 Intel Celeron Dual Core N50 - (4 GB/512 GB SSD/128 GB EMMC Storage/Chrome OS) CX1...,24990,,,,,
HP,HP 14 AI PC Intel Core Ultra 7 155H - (16 GB/512 GB SSD/Windows 11 Home) 14-ep1151TU/14-gr1036TU/14-ep...,76990,95687,19,4.1,466,36
Acer,Acer Aspire 3 Intel Core i5 13th Gen 1334U - (8 GB/512 GB SSD/Windows 11 Home) A324-53 Thin and Light ...,47000,61999,24,4.3,1632,104
Lenovo,Lenovo IdeaPad Slim 3 Intel Core i5 13th Gen 13420H - (16 GB/1 TB SSD/Windows 11 Home) 83K100HSIN Thin...,68990,92290,25,4.3,158,8
MSI,MSI Katana 15 Intel Core i5 13th Gen 13420H - (16 GB/1 TB SSD/Windows 11 Home/6 GB Graphics/NVIDIA GeF...,74999,94990,21,4.3,90,12
ASUS,ASUS VivoBook Ultra AMD Ryzen 5 Hexa Core AMD R5-5500U - (8 GB/512 GB SSD/Windows 10 Home) KM413UA-EB5...,53999,73990,27,4.5,679,78
HP,HP 240R G9 (2025) Intel Core i3 13th Gen 1315U - (16 GB/512 GB SSD/Windows 11 Pro) 240R G9 Thin and Li...,43990,70990,38,,,
ASUS,"ASUS Vivobook S14 OLED (2025), AI PC, Metal Body, Backlit Keyboard, Intel Core Ultra 7 256V - (16 GB/5...",94990,128990,26,4,5,1
MSI,MSI Venture 15 AI Intel Core Ultra 5 125H - (16 GB/512 GB SSD/Windows 11 Home) Venture 15 AI A1MG-005I...,69990,79990,12,,,
Acer,Acer Swift Go 14 Office 2024 + M365 Basic AMD Ryzen 5 Hexa Core 7430U - (16 GB/512 GB SSD/Windows 11 H...,44990,69999,35,4.4,1026,107
