Product Name,Selling Price,Original Price,Discount,Rating,Rating Count
ASUS Vivobook 15 (2025) with Office 2024 + M365 Basic* Intel Core i3 13th Gen - (8 GB/512 GB SSD/Windo...,"₹40,990","₹50,990",19% off,4.2,"1,082 Ratings & 64 Reviews"
HP 250R G10 (2025) (i3 14th Gen) Intel Core 3 14th Gen 100U - (8 GB/512 GB SSD/Windows 11 Home) 250R G...,"₹42,990","₹49,778",13% off,4.2,17 Ratings & 1 Reviews
Acer Swift Neo Office 2024 + M365 Basic Intel Core Ultra 7 155U - (32 GB/1 TB SSD/Windows 11 Home) SFN...,"₹75,990","₹99,999",24% off,4.1,256 Ratings & 22 Reviews
Lenovo IdeaPad Pro 5 Intel Core Ultra 9 285H - (32 GB/1 TB SSD/Windows 11 Home) 14IAH10 Thin and Light...,"₹1,34,990","₹1,67,890",19% off,4.4,50 Ratings & 1 Reviews
ASUS Vivobook Go 15 AMD Ryzen 5 Quad Core 7520U - (8 GB/512 GB SSD/Windows 11 Home) E1504FA-NJ132WS | ...,"₹38,990","₹50,990",23% off,4.3,"1,532 Ratings & 77 Reviews"
Acer Aspire 3 Intel Core i5 13th Gen 1334U - (16 GB/512 GB SSD/Windows 11 Home) A324-53 Thin and Light...,"₹57,373","₹59,900",4% off,4.3,"1,632 Ratings & 104 Reviews"
DELL 15 Microsoft Office Home 2024 Intel Core i3 13th Gen 1305U - (16 GB/512 GB SSD/Windows 11 Home) 3...,"₹44,990","₹54,479",17% off,4.2,810 Ratings & 54 Reviews
Lenovo IdeaPad Slim 3 Backlit Keyboard with MSO'2024 Intel Core i5 13th Gen 13420H - (24 GB/1 TB SSD/W...,"₹67,990","₹87,990",22% off,4.3,132 Ratings & 6 Reviews
HP 15 (2025) AMD Ryzen 3 Quad Core 7320U - (16 GB/512 GB SSD/Windows 11 Home) 15 Thin and Light Laptop,"₹45,999","₹60,999",24% off,3.9,141 Ratings & 7 Reviews
DELL 15 AMD Ryzen 7 Octa Core 7730U - (16 GB/512 GB SSD/Windows 11 Home) DC15255 Thin and Light Laptop,"₹54,990","₹66,920",17% off,4,26 Ratings & 1 Reviews
Lenovo �IdeaPad Slim 5 WUXGA OLED Full Metal Body Intel Core i5 13th Gen 13420H - (16 GB/512 GB SSD/Wi...,"₹64,990","₹85,390",23% off,4.4,85 Ratings & 11 Reviews
DELL Inspiron 5440 (2026) (i3 14th Gen) Intel Core 3 14th Gen 100U - (8 GB/512 GB SSD/Windows 11 Pro) ...,"₹40,490","₹70,990",42% off,3.9,19 Ratings & 1 Reviews
Acer Aspire 3 Intel Pentium Quad Core 12th Gen N100 - (16 GB/512 GB SSD/Windows 11 Home) A324-31 Thin ...,"₹36,990",N/A,N/A,4.1,720 Ratings & 35 Reviews
MSI Thin 15 Intel Core i5 12th Gen 12450H - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeF...,"₹49,990","₹70,990",29% off,4.3,"1,558 Ratings & 117 Reviews"
Lenovo Chromebook Intel Pentium Quad Core N100 - (4 GB/128 GB EMMC Storage/Chrome OS) 14IAN8 Chromeboo...,"₹16,990","₹36,690",53% off,3.7,122 Ratings & 11 Reviews
"HP 15 Laptop with Backlit Keyboard & MSO'2024, AMD Ryzen 7 Octa Core 7730U - (16 GB/512 GB SSD/Windows...","₹55,990","₹62,963",11% off,4.3,43 Ratings & 6 Reviews
Acer 3 Years Warranty TravelLite (2026) AMD Ryzen 5 Hexa Core 7430U - (8 GB/512 GB SSD/Windows 11 Home...,"₹42,990","₹74,990",42% off,4,12 Ratings & 4 Reviews
DELL 14 (2025) Intel Core i3 13th Gen 1305U - (16 GB/512 GB SSD/Windows 11 Pro) 14 Thin and Light Lapt...,"₹45,990","₹70,990",35% off,4.3,232 Ratings & 15 Reviews
HP Victus (i5 14th Gen) Intel Core 5 120U - (16 GB/512 GB SSD/Windows 11 Home) 15-fd1097TU Thin and Li...,"₹66,026","₹77,900",15% off,N/A,N/A
